Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
70,110,24,63,0,0
113,152,55,35,31,-28
108,170,58,115,3,80
94,174,65,116,7,1
126,170,39,115,-26,-1
33,164,29,113,-10,-2
26,165,9,108,-20,-5
29,168,50,110,41,2
32,167,72,109,22,-1
29,168,18,107,-54,-2
29,166,28,106,10,-1
41,165,57,140,29,34
42,167,53,104,-4,-36
39,167,36,104,-17,0
168,168,18,104,-18,0
167,166,22,102,4,-2
169,166,26,135,4,33
168,166,27,135,1,0
170,166,102,100,75,-35
166,167,97,99,-5,-1
167,166,99,138,2,39
167,163,128,129,29,-9
171,167,139,125,11,-4
173,161,127,134,-12,9
173,163,137,127,10,-7
172,163,114,123,-23,-4
173,162,119,130,5,7
174,163,119,126,0,-4
173,162,121,123,2,-3
174,161,135,115,14,-8
174,158,138,129,3,14
174,160,136,130,-2,1
173,161,134,129,-2,-1
172,154,136,83,2,-46
171,156,136,82,0,-1
171,154,135,132,-1,50
171,153,138,80,3,-52
171,148,133,77,-5,-3
171,146,139,75,6,-2
172,143,138,129,-1,54
172,142,134,132,-4,3
172,147,133,115,-1,-17
172,149,132,124,-1,9
173,152,130,128,-2,4
173,161,136,131,6,3
173,166,132,121,-4,-10
173,172,127,124,-5,3
173,175,127,123,0,-1
173,177,125,126,-2,3
172,174,120,130,-5,4
172,175,119,129,-1,-1
172,176,121,127,2,-2
171,176,121,129,0,2
171,172,123,128,2,-1
172,169,125,128,2,0
169,169,124,132,-1,4
168,169,132,132,8,0
168,168,86,131,-46,-1
169,166,86,131,0,0
169,167,125,133,39,2
169,166,126,131,1,-2
165,162,131,130,5,-1
168,164,130,131,-1,1
167,165,129,132,-1,1
166,165,125,131,-4,-1
166,165,89,131,-36,0
165,166,118,132,29,1
167,166,132,131,14,-1
167,167,134,131,2,0
167,167,120,131,-14,0
169,167,132,131,12,0
168,167,136,131,4,0
168,165,124,130,-12,-1
167,165,108,132,-16,2
169,165,137,132,29,0
170,162,136,130,-1,-2
170,161,117,129,-19,-1
172,161,120,129,3,0
172,162,140,130,20,1
171,160,122,130,-18,0
172,160,121,130,-1,0
172,159,119,127,-2,-3
173,162,117,132,-2,5
172,159,116,130,-1,-2
172,154,139,119,23,-11
172,154,138,128,-1,9
172,147,138,135,0,7
173,148,137,128,-1,-7
173,143,136,132,-1,4
173,147,136,122,0,-10
173,148,135,122,-1,0
173,151,135,119,0,-3
173,154,135,126,0,7
174,159,135,127,0,1
174,164,135,134,0,7
174,169,134,129,-1,-5
174,173,133,124,-1,-5
174,176,134,128,1,4
173,175,133,129,-1,1
173,175,134,128,1,-1
173,175,133,129,-1,1
173,175,131,130,-2,1
172,174,131,132,0,2
173,173,131,133,0,1
173,172,130,134,-1,1
174,171,131,136,1,2
173,171,132,135,1,-1
172,170,133,135,1,0
171,170,134,134,1,-1
170,169,134,133,0,-1
169,168,132,134,-2,1
169,169,130,134,-2,0
167,170,130,135,0,1
165,169,89,132,-41,-3
166,169,132,132,43,0
166,168,124,131,-8,-1
168,169,132,131,8,0
170,169,131,132,-1,1
170,169,129,131,-2,-1
171,169,128,131,-1,0
